2026-03-03 11:20:06, MOVE, v:1, k:ed@triangulo, mode:DOWN
2026-03-03 11:20:14, MOVE, v:1, k:ed@triangulo, mode:PICK
2026-03-03 11:21:00, MOVE, v:1, k:ed@triangulo, mode:BACK
2026-03-03 11:21:05, MOVE, v:1, k:ed@resto, mode:DOWN
2026-03-03 11:21:06, MOVE, v:1, k:ed@resto, mode:PICK
2026-03-03 11:21:17, EXEC, v:1, k:ed@resto, mode:FULL, rate:0, size:5
2026-03-03 11:21:24, MOVE, v:1, k:ed@resto, mode:BACK
2026-03-03 11:21:26, MOVE, v:1, k:ed@resto, mode:PICK
2026-03-03 11:21:51, MOVE, v:1, k:ed@resto, mode:BACK
2026-03-03 14:33:05, MOVE, v:1, k:fup@bala, mode:DOWN
2026-03-03 14:33:07, MOVE, v:1, k:fup@bala, mode:PICK
2026-03-03 14:33:08, EXEC, v:1, k:fup@bala, mode:FULL, rate:0, size:5
2026-03-03 14:35:07, MOVE, v:1, k:fup@bala, mode:BACK
2026-03-03 17:54:07, MOVE, v:1, k:fup@tres, mode:DOWN
2026-03-03 17:54:16, MOVE, v:1, k:fup@tres, mode:PICK
2026-03-03 17:55:37, MOVE, v:1, k:fup@tres, mode:BACK
2026-03-03 17:55:40, MOVE, v:1, k:fup@tres, mode:PICK
2026-03-03 17:55:41, MOVE, v:1, k:fup@tres, mode:BACK
2026-03-03 17:55:48, MOVE, v:1, k:fup@tres, mode:PICK
2026-03-03 18:18:34, MOVE, v:1, k:fup@tres, mode:BACK
